;age;sex;marital-status;native-country;race;education;hours-per-week;capital-gain;workclass
31;20;Male;Never-married;United-States;Black;Some-college;44;0;Private
32;45;Male;Divorced;United-States;White;Bachelors;40;0;Private
33;30;Male;Married-civ-spouse;United-States;White;Some-college;40;0;Federal-gov
34;22;Male;Married-civ-spouse;United-States;Black;Some-college;15;0;State-gov
35;48;Male;Never-married;Puerto-Rico;White;11th;40;0;Private
36;21;Male;Never-married;United-States;White;Some-college;40;0;Private
37;19;Female;Married-AF-spouse;United-States;White;HS-grad;25;0;Private
39;48;Male;Married-civ-spouse;United-States;White;Assoc-acdm;40;0;Self-emp-not-inc
40;31;Male;Married-civ-spouse;United-States;White;9th;43;0;Private
41;53;Male;Married-civ-spouse;United-States;White;Bachelors;40;0;Self-emp-not-inc
42;24;Male;Married-civ-spouse;United-States;White;Bachelors;50;0;Private
43;49;Female;Separated;United-States;White;HS-grad;40;0;Private
44;25;Male;Never-married;United-States;White;HS-grad;35;0;Private
45;57;Male;Married-civ-spouse;United-States;Black;Bachelors;40;0;Federal-gov
46;53;Male;Married-civ-spouse;United-States;White;HS-grad;38;0;Private
47;44;Female;Divorced;United-States;White;Masters;40;0;Private
48;41;Male;Married-civ-spouse;United-States;White;Assoc-voc;40;0;State-gov
49;29;Male;Never-married;United-States;White;Assoc-voc;43;0;Private
50;25;Female;Married-civ-spouse;United-States;Other;Some-college;40;0;Private
52;47;Female;Married-civ-spouse;Honduras;White;Prof-school;60;0;Private
53;50;Male;Divorced;United-States;White;Bachelors;55;0;Federal-gov
54;47;Male;Divorced;United-States;White;HS-grad;60;0;Self-emp-inc
55;43;Male;Married-civ-spouse;United-States;White;Some-college;40;0;Private
56;46;Male;Married-civ-spouse;Mexico;White;5th-6th;40;0;Private
57;35;Male;Married-civ-spouse;Puerto-Rico;White;Assoc-voc;40;0;Private
58;41;Male;Married-civ-spouse;United-States;White;HS-grad;48;0;Private
59;30;Male;Married-civ-spouse;United-States;White;HS-grad;40;5013;Private
60;30;Male;Married-civ-spouse;United-States;White;Bachelors;40;2407;Private
62;48;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
63;42;Male;Married-civ-spouse;United-States;White;Doctorate;45;0;Private
64;29;Male;Divorced;United-States;White;Some-college;58;0;Private
65;36;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
66;28;Female;Divorced;United-States;White;Some-college;40;0;Private
67;53;Female;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
68;49;Male;Married-civ-spouse;United-States;White;Some-college;50;0;Self-emp-inc
70;19;Male;Never-married;United-States;White;Some-college;32;0;Private
71;31;Female;Separated;United-States;Black;Bachelors;40;0;Private
72;29;Male;Married-civ-spouse;United-States;White;Bachelors;70;0;Self-emp-not-inc
73;23;Male;Never-married;United-States;White;Some-college;40;0;Private
74;79;Male;Married-civ-spouse;United-States;White;Some-college;20;0;Private
75;27;Male;Never-married;Mexico;White;HS-grad;40;0;Private
76;40;Male;Married-civ-spouse;United-States;White;Assoc-acdm;40;0;Private
78;18;Female;Never-married;United-States;White;11th;22;0;Private
79;31;Male;Married-civ-spouse;United-States;White;7th-8th;40;0;Local-gov
80;18;Male;Never-married;United-States;White;HS-grad;30;0;Private
81;52;Male;Married-civ-spouse;Cuba;White;Bachelors;40;0;Private
82;46;Female;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
83;59;Male;Married-civ-spouse;United-States;White;HS-grad;48;0;Private
84;44;Female;Divorced;United-States;White;HS-grad;40;14344;Private
85;53;Female;Divorced;United-States;White;HS-grad;35;0;Private
86;49;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Local-gov
87;33;Male;Married-civ-spouse;United-States;White;Masters;50;0;Private
88;30;Male;Never-married;United-States;White;9th;40;0;Private
89;43;Female;Never-married;United-States;White;Doctorate;50;0;Federal-gov
90;57;Male;Married-civ-spouse;United-States;White;Assoc-voc;40;0;Private
91;37;Female;Divorced;United-States;White;Some-college;40;0;Private
92;28;Female;Divorced;United-States;Black;Some-college;25;0;Private
94;34;Male;Married-civ-spouse;United-States;White;Bachelors;40;0;Local-gov
95;29;Male;Never-married;United-States;White;Some-college;50;0;Local-gov
96;48;Male;Married-civ-spouse;United-States;White;Doctorate;60;0;Self-emp-not-inc
97;37;Male;Married-civ-spouse;United-States;White;Some-college;48;0;Private
98;48;Female;Divorced;England;White;Assoc-acdm;40;0;Private
99;32;Male;Never-married;United-States;Black;HS-grad;40;0;Federal-gov
100;76;Male;Married-civ-spouse;United-States;White;Masters;40;0;Private
101;44;Male;Married-civ-spouse;United-States;White;Bachelors;60;15024;Private
102;47;Female;Never-married;United-States;White;Masters;50;0;Self-emp-not-inc
103;20;Female;Never-married;United-States;White;Some-college;40;0;Private
104;29;Male;Never-married;United-States;White;HS-grad;40;0;Private
105;32;Male;Married-civ-spouse;United-States;White;HS-grad;40;7688;Self-emp-inc
107;30;Male;Never-married;United-States;White;11th;40;0;Private
108;31;Female;Never-married;United-States;White;HS-grad;40;0;Local-gov
109;42;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
110;24;Male;Never-married;United-States;White;Bachelors;40;0;Private
111;38;Male;Married-civ-spouse;United-States;White;Prof-school;40;0;Private
112;56;Male;Married-civ-spouse;Canada;White;HS-grad;50;0;Self-emp-not-inc
113;28;Female;Married-civ-spouse;United-States;White;Some-college;25;4064;Private
114;36;Female;Never-married;United-States;White;HS-grad;40;0;Private
115;53;Male;Married-civ-spouse;United-States;White;9th;50;0;Private
116;56;Male;Married-civ-spouse;United-States;White;Some-college;50;0;Self-emp-inc
117;49;Male;Married-civ-spouse;United-States;Black;Assoc-voc;40;0;Local-gov
118;55;Male;Married-civ-spouse;United-States;White;Some-college;56;0;Private
119;22;Male;Never-married;United-States;White;HS-grad;41;0;Private
120;21;Female;Never-married;United-States;White;Some-college;40;0;Private
121;40;Male;Married-civ-spouse;United-States;White;Bachelors;60;0;Private
122;30;Male;Never-married;Germany;Black;Bachelors;40;0;Private
123;29;Male;Married-civ-spouse;United-States;White;Bachelors;50;0;State-gov
124;19;Male;Never-married;United-States;Black;Some-college;35;0;Private
125;47;Female;Married-civ-spouse;United-States;White;Bachelors;40;0;Private
126;20;Female;Never-married;United-States;White;Some-college;28;0;Private
127;31;Male;Married-civ-spouse;United-States;White;Assoc-acdm;40;0;Private
129;39;Male;Divorced;United-States;White;Some-college;40;0;Private
130;28;Female;Never-married;United-States;White;Assoc-acdm;60;0;Private
131;24;Female;Never-married;United-States;White;HS-grad;40;0;Private
132;38;Male;Married-civ-spouse;United-States;White;HS-grad;35;4386;Self-emp-not-inc
133;37;Male;Married-civ-spouse;United-States;White;Bachelors;50;0;Private
134;46;Female;Divorced;United-States;Black;Assoc-acdm;36;0;Private
135;38;Male;Married-civ-spouse;Iran;White;Masters;40;0;Federal-gov
136;43;Male;Married-civ-spouse;United-States;White;HS-grad;60;0;Self-emp-not-inc
137;27;Female;Married-civ-spouse;United-States;White;Assoc-voc;35;0;Private
138;20;Male;Never-married;United-States;White;Some-college;20;0;Private
139;49;Male;Married-civ-spouse;United-States;Asian-Pac-Islander;Some-college;40;0;Private
140;61;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Self-emp-inc
141;27;Female;Never-married;United-States;White;Some-college;40;0;Private
142;19;Male;Never-married;Mexico;White;Some-college;30;0;Private
143;45;Female;Never-married;United-States;White;Assoc-voc;40;0;Private
144;70;Male;Never-married;United-States;White;Some-college;40;0;Private
145;31;Female;Never-married;United-States;Black;HS-grad;30;0;Private
146;22;Male;Married-civ-spouse;United-States;White;Some-college;24;0;Private
147;36;Female;Widowed;United-States;White;HS-grad;24;0;Private
148;64;Male;Married-civ-spouse;United-States;White;11th;40;0;Private
150;47;Female;Divorced;Mexico;White;Some-college;38;0;Local-gov
151;34;Female;Never-married;United-States;White;HS-grad;40;0;Private
152;33;Female;Never-married;Philippines;Asian-Pac-Islander;Bachelors;40;0;Private
153;21;Male;Never-married;United-States;White;HS-grad;35;0;Private
155;48;Male;Married-civ-spouse;United-States;White;HS-grad;46;0;Private
156;23;Male;Never-married;United-States;White;Bachelors;40;0;Private
157;71;Male;Separated;United-States;Black;Some-college;2;0;Self-emp-not-inc
158;29;Male;Divorced;United-States;White;HS-grad;60;0;Private
159;42;Male;Separated;United-States;Black;Bachelors;50;0;Private
161;25;Female;Never-married;United-States;White;HS-grad;40;0;Private
162;44;Female;Divorced;United-States;Asian-Pac-Islander;Masters;40;0;Self-emp-inc
163;28;Female;Never-married;England;Asian-Pac-Islander;HS-grad;40;0;Private
164;45;Male;Married-civ-spouse;United-States;White;Masters;40;0;Self-emp-not-inc
165;36;Female;Divorced;Mexico;White;Some-college;40;0;Private
166;39;Male;Never-married;United-States;White;Assoc-acdm;42;0;Federal-gov
167;46;Male;Widowed;United-States;White;Masters;40;0;State-gov
168;18;Male;Never-married;United-States;White;11th;16;0;Private
169;66;Female;Widowed;United-States;White;Assoc-voc;20;0;Local-gov
170;27;Male;Never-married;United-States;White;HS-grad;40;0;Private
171;28;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;State-gov
172;51;Male;Married-civ-spouse;United-States;White;Some-college;40;0;Private
173;27;Male;Never-married;United-States;White;Bachelors;50;0;Private
174;28;Male;Married-civ-spouse;United-States;White;Bachelors;40;0;State-gov
175;27;Female;Married-spouse-absent;United-States;White;HS-grad;25;0;Private
176;21;Male;Never-married;United-States;Black;HS-grad;40;0;Private
177;34;Male;Never-married;United-States;Black;HS-grad;40;0;Private
178;18;Male;Never-married;United-States;White;HS-grad;12;0;Private
179;33;Male;Married-civ-spouse;United-States;White;Bachelors;65;0;Private
180;44;Male;Married-civ-spouse;United-States;Black;Some-college;38;0;Local-gov
181;43;Female;Divorced;United-States;White;Some-college;40;0;Private
182;30;Male;Never-married;United-States;Black;Some-college;45;0;Private
183;40;Male;Married-civ-spouse;Mexico;White;7th-8th;40;0;Private
184;37;Male;Married-civ-spouse;United-States;White;Some-college;42;0;Federal-gov
185;34;Male;Married-civ-spouse;United-States;Black;HS-grad;40;0;Private
186;41;Female;Divorced;United-States;White;Bachelors;40;0;Self-emp-not-inc
188;31;Female;Married-civ-spouse;United-States;White;Masters;50;0;Private
189;58;Male;Married-civ-spouse;United-States;White;Doctorate;1;0;State-gov
190;38;Female;Divorced;United-States;Black;Some-college;28;0;Private
191;24;Male;Married-civ-spouse;United-States;White;Some-college;40;0;Private
192;41;Male;Married-civ-spouse;United-States;Black;Bachelors;40;0;Local-gov
193;47;Male;Married-civ-spouse;United-States;White;Some-college;45;0;Private
194;41;Male;Married-civ-spouse;United-States;White;Bachelors;24;0;Federal-gov
195;23;Male;Married-civ-spouse;Mexico;White;5th-6th;40;0;Private
196;36;Male;Divorced;United-States;White;Some-college;40;0;Private
197;40;Female;Never-married;United-States;White;Masters;55;14084;Federal-gov
198;35;Male;Married-civ-spouse;United-States;White;Masters;40;7298;Private
199;24;Male;Never-married;United-States;White;HS-grad;40;0;Self-emp-not-inc
200;26;Female;Never-married;United-States;White;Masters;40;0;Private
202;51;Male;Married-civ-spouse;United-States;White;Bachelors;50;0;Private
203;42;Female;Never-married;United-States;White;Some-college;40;0;Local-gov
204;37;Female;Divorced;United-States;White;HS-grad;35;0;State-gov
205;18;Female;Never-married;United-States;White;11th;40;0;Private
206;36;Male;Married-civ-spouse;United-States;Black;Bachelors;36;7298;Private
207;35;Male;Divorced;United-States;White;HS-grad;60;0;Private
208;58;Female;Married-civ-spouse;United-States;White;HS-grad;35;15024;Self-emp-inc
209;17;Female;Never-married;United-States;White;11th;12;0;Private
210;44;Male;Married-civ-spouse;United-States;Black;HS-grad;40;0;Local-gov
211;37;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
212;35;Female;Never-married;United-States;Amer-Indian-Eskimo;Some-college;40;0;Private
213;60;Male;Married-civ-spouse;United-States;Asian-Pac-Islander;HS-grad;40;0;Private
214;54;Male;Married-civ-spouse;United-States;White;7th-8th;40;0;Self-emp-inc
215;37;Male;Never-married;United-States;Black;Bachelors;60;0;Private
216;50;Female;Divorced;United-States;White;Assoc-acdm;40;0;Private
217;38;Male;Married-civ-spouse;Poland;White;Bachelors;50;0;Private
218;45;Male;Married-civ-spouse;United-States;White;Bachelors;55;0;Private
219;25;Male;Never-married;United-States;White;10th;40;0;Private
220;31;Male;Married-civ-spouse;United-States;White;Some-college;40;0;Private
222;90;Male;Never-married;United-States;Black;HS-grad;40;0;Private
223;54;Male;Married-civ-spouse;United-States;Black;HS-grad;20;0;Private
224;53;Female;Never-married;United-States;White;Preschool;35;0;Local-gov
225;18;Female;Never-married;United-States;White;HS-grad;40;0;Private
227;66;Male;Married-civ-spouse;United-States;White;HS-grad;50;1409;Self-emp-not-inc
228;75;Female;Widowed;Columbia;White;Assoc-voc;20;0;Private
229;65;Female;Divorced;United-States;White;HS-grad;40;0;Private
230;35;Male;Separated;United-States;Black;11th;40;3674;Private
231;41;Female;Divorced;United-States;Black;HS-grad;38;0;Private
232;25;Male;Never-married;United-States;White;Some-college;42;0;Private
233;33;Female;Divorced;United-States;Other;Some-college;40;0;Private
234;28;Male;Never-married;United-States;White;Prof-school;55;0;Private
235;59;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;State-gov
236;40;Female;Never-married;United-States;White;Some-college;38;0;State-gov
237;41;Male;Married-civ-spouse;Iran;White;Bachelors;50;0;Private
238;38;Male;Married-civ-spouse;United-States;White;Masters;70;0;Local-gov
239;23;Male;Never-married;United-States;White;HS-grad;40;0;Private
240;40;Male;Married-civ-spouse;United-States;White;Bachelors;40;0;Private
241;41;Female;Married-civ-spouse;United-States;White;HS-grad;20;0;Self-emp-not-inc
242;24;Male;Married-civ-spouse;United-States;White;Assoc-acdm;50;0;State-gov
244;38;Male;Divorced;United-States;White;Some-college;40;0;Private
246;58;Male;Married-civ-spouse;United-States;White;HS-grad;45;0;Private
247;32;Female;Never-married;United-States;White;HS-grad;34;0;Private
248;40;Male;Married-civ-spouse;United-States;White;Assoc-acdm;60;0;Private
250;41;Female;Married-civ-spouse;United-States;White;Prof-school;40;0;Private
251;42;Female;Married-civ-spouse;United-States;Black;Bachelors;40;0;Private
252;59;Female;Widowed;United-States;Black;10th;30;0;Local-gov
253;19;Male;Never-married;United-States;White;Some-college;40;0;Local-gov
254;58;Male;Never-married;United-States;White;Some-college;20;0;Private
255;42;Male;Married-civ-spouse;Cambodia;Asian-Pac-Islander;HS-grad;40;0;Self-emp-not-inc
256;20;Female;Never-married;United-States;White;HS-grad;40;0;Private
257;32;Female;Separated;United-States;White;HS-grad;30;0;Private
258;45;Female;Widowed;United-States;White;Assoc-voc;45;0;Private
259;50;Male;Divorced;United-States;White;7th-8th;40;0;Private
260;36;Female;Divorced;United-States;White;Bachelors;40;0;Private
261;45;Male;Married-civ-spouse;United-States;White;HS-grad;60;0;Private
262;17;Male;Never-married;United-States;White;11th;12;0;Private
263;59;Male;Married-civ-spouse;United-States;White;Some-college;40;4064;Private
264;26;Male;Married-civ-spouse;United-States;White;11th;40;0;Private
265;37;Male;Married-civ-spouse;Thailand;Asian-Pac-Islander;Some-college;75;0;Self-emp-inc
267;64;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
268;33;Female;Never-married;United-States;White;Bachelors;45;0;Private
269;33;Female;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
270;61;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
271;17;Male;Never-married;United-States;White;9th;24;1055;Private
272;50;Male;Married-civ-spouse;United-States;White;Masters;98;2407;Self-emp-not-inc
273;27;Male;Never-married;United-States;White;Masters;35;0;Local-gov
274;30;Female;Divorced;United-States;White;HS-grad;40;0;Private
275;43;Male;Married-civ-spouse;United-States;Black;HS-grad;40;0;Private
276;44;Male;Married-civ-spouse;United-States;White;Some-college;40;7298;Private
277;35;Female;Never-married;United-States;White;Some-college;40;0;Private
278;25;Female;Never-married;United-States;White;Some-college;40;0;Private
279;24;Female;Married-civ-spouse;United-States;White;Some-college;48;7298;Private
280;22;Female;Never-married;Germany;White;Bachelors;15;0;Private
281;42;Male;Married-civ-spouse;United-States;White;Some-college;40;5178;Local-gov
282;34;Female;Divorced;United-States;Black;Assoc-acdm;45;0;Private
283;60;Female;Divorced;United-States;White;Bachelors;42;0;Private
284;21;Male;Never-married;United-States;White;HS-grad;40;0;Private
285;57;Male;Married-civ-spouse;United-States;White;Masters;40;15024;Federal-gov
286;41;Male;Married-civ-spouse;United-States;White;Prof-school;60;0;Private
287;50;Male;Divorced;United-States;White;Some-college;45;0;Private
288;25;Female;Never-married;United-States;White;Bachelors;40;0;Private
289;50;Male;Married-civ-spouse;Ecuador;White;7th-8th;40;0;Private
290;36;Male;Married-civ-spouse;United-States;White;Bachelors;45;0;Private
291;31;Female;Divorced;United-States;White;HS-grad;40;0;Private
292;29;Male;Never-married;United-States;White;Bachelors;56;0;Local-gov
293;21;Male;Never-married;United-States;White;Some-college;45;0;Private
294;27;Female;Never-married;United-States;Black;Bachelors;40;0;Private
295;65;Male;Married-civ-spouse;United-States;White;HS-grad;16;0;Private
296;37;Female;Divorced;United-States;White;Bachelors;60;0;Self-emp-inc
298;24;Male;Never-married;United-States;White;HS-grad;40;0;Private
299;38;Male;Divorced;United-States;White;HS-grad;80;0;Private
300;48;Male;Married-civ-spouse;United-States;White;Bachelors;40;7688;Private
301;21;Female;Never-married;United-States;Asian-Pac-Islander;Some-college;25;0;Private
302;31;Male;Married-civ-spouse;United-States;White;HS-grad;45;0;Private
303;55;Male;Married-civ-spouse;United-States;White;HS-grad;40;4386;Private
304;24;Female;Married-civ-spouse;Laos;Asian-Pac-Islander;Some-college;40;0;Private
305;43;Female;Divorced;United-States;White;HS-grad;40;0;Private
306;26;Male;Never-married;United-States;White;Assoc-acdm;45;0;Private
307;46;Female;Never-married;United-States;White;Assoc-acdm;33;0;Private
308;35;Male;Married-civ-spouse;United-States;White;Assoc-acdm;40;0;Private
309;41;Male;Married-civ-spouse;United-States;White;Some-college;54;0;Self-emp-inc
310;26;Male;Never-married;United-States;White;Bachelors;40;0;Private
311;34;Male;Married-civ-spouse;Taiwan;Asian-Pac-Islander;Masters;35;7298;Private
313;36;Female;Divorced;United-States;Black;Bachelors;40;0;Self-emp-not-inc
314;22;Male;Never-married;United-States;White;Some-college;15;0;Private
315;24;Male;Never-married;United-States;White;Some-college;40;0;Private
316;77;Male;Married-civ-spouse;United-States;White;Some-college;40;0;Self-emp-not-inc
317;22;Female;Married-civ-spouse;Mexico;White;5th-6th;40;0;Private
318;29;Female;Never-married;United-States;White;Some-college;40;0;Private
319;62;Female;Widowed;United-States;White;HS-grad;24;0;Private
320;39;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Self-emp-not-inc
321;43;Male;Married-civ-spouse;United-States;White;Some-college;50;0;Private
322;35;Male;Divorced;United-States;White;HS-grad;45;0;Private
323;29;Female;Never-married;United-States;White;11th;40;0;Private
324;76;Male;Married-civ-spouse;United-States;White;Masters;10;0;Self-emp-not-inc
325;63;Male;Married-civ-spouse;United-States;White;HS-grad;45;0;Self-emp-not-inc
327;43;Female;Married-civ-spouse;United-States;White;Some-college;50;0;Private
328;58;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Self-emp-not-inc
329;66;Male;Never-married;United-States;White;HS-grad;55;2050;Private
330;41;Male;Never-married;United-States;Black;Some-college;45;0;Private
331;26;Male;Never-married;United-States;White;Bachelors;40;0;Private
332;47;Male;Never-married;United-States;White;Assoc-voc;40;0;Private
333;55;Male;Married-civ-spouse;United-States;White;10th;40;0;Local-gov
334;53;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
335;17;Male;Never-married;Mexico;White;5th-6th;48;0;Private
336;30;Male;Never-married;United-States;White;HS-grad;40;0;Private
337;49;Male;Never-married;United-States;White;Masters;60;0;Private
338;19;Male;Never-married;Haiti;Black;HS-grad;30;0;Private
339;45;Male;Married-civ-spouse;United-States;Black;HS-grad;40;0;Private
340;26;Male;Never-married;United-States;White;Assoc-acdm;40;0;Private
341;38;Male;Married-civ-spouse;United-States;White;Assoc-voc;40;7298;Private
342;36;Male;Married-civ-spouse;United-States;White;HS-grad;40;7298;State-gov
343;33;Male;Never-married;United-States;White;HS-grad;20;0;Private
344;22;Female;Never-married;United-States;Black;Some-college;40;0;State-gov
345;43;Male;Never-married;United-States;White;Bachelors;42;0;Self-emp-not-inc
348;56;Male;Married-spouse-absent;Iran;White;Assoc-acdm;25;0;Private
349;31;Male;Never-married;United-States;White;Bachelors;25;0;Private
350;33;Male;Married-civ-spouse;United-States;White;Bachelors;40;0;Private
351;26;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
352;33;Male;Married-civ-spouse;United-States;White;Bachelors;40;0;Private
353;46;Male;Married-civ-spouse;United-States;White;11th;30;0;Local-gov
355;38;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Federal-gov
356;65;Male;Widowed;United-States;Other;11th;40;0;Private
357;40;Male;Married-civ-spouse;United-States;White;Assoc-voc;40;0;Private
358;42;Female;Married-civ-spouse;United-States;White;HS-grad;35;0;Private
359;26;Male;Married-civ-spouse;Portugal;White;9th;40;0;Self-emp-not-inc
360;36;Female;Married-civ-spouse;United-States;White;10th;24;0;Private
361;62;Male;Married-civ-spouse;United-States;White;Masters;40;0;Private
362;43;Male;Married-civ-spouse;United-States;White;Bachelors;45;0;Private
363;43;Male;Divorced;United-States;White;Bachelors;45;0;Private
364;22;Male;Married-spouse-absent;United-States;White;HS-grad;55;0;Private
365;28;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
366;56;Male;Married-civ-spouse;United-States;White;Some-college;45;0;Self-emp-not-inc
367;22;Female;Never-married;United-States;White;Assoc-acdm;15;0;Private
368;57;Female;Divorced;United-States;White;Bachelors;45;0;Private
369;39;Female;Divorced;United-States;White;HS-grad;40;0;Private
370;26;Female;Never-married;United-States;White;Some-college;15;0;Federal-gov
371;17;Male;Never-married;United-States;White;11th;10;0;Private
372;40;Male;Married-civ-spouse;United-States;White;Assoc-voc;38;0;State-gov
373;45;Male;Married-civ-spouse;United-States;Black;HS-grad;40;0;Private
374;44;Male;Never-married;United-States;Black;HS-grad;40;0;Private
375;20;Female;Never-married;United-States;White;Some-college;10;0;Local-gov
376;33;Female;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
377;23;Male;Never-married;United-States;White;Some-college;40;0;Private
378;46;Male;Divorced;United-States;White;Masters;30;0;Self-emp-not-inc
379;38;Male;Married-civ-spouse;United-States;White;HS-grad;50;0;Private
380;54;Male;Divorced;United-States;White;HS-grad;40;0;Private
381;46;Female;Divorced;United-States;White;5th-6th;45;0;Private
382;25;Male;Married-civ-spouse;United-States;White;Some-college;40;0;Private
383;46;Female;Divorced;United-States;White;Some-college;40;0;Private
384;36;Female;Married-civ-spouse;United-States;White;Some-college;40;0;Local-gov
385;23;Female;Never-married;United-States;White;HS-grad;25;0;Private
386;29;Male;Separated;United-States;White;HS-grad;40;0;Private
387;44;Female;Married-civ-spouse;United-States;White;Some-college;6;0;Private
388;19;Female;Never-married;United-States;White;Some-college;16;0;Private
389;19;Female;Never-married;United-States;White;HS-grad;40;0;Private
390;35;Female;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
391;27;Male;Never-married;United-States;White;Bachelors;50;0;Private
392;46;Male;Separated;United-States;White;Assoc-acdm;40;0;Self-emp-not-inc
394;34;Female;Never-married;United-States;White;HS-grad;35;0;Private
395;44;Male;Married-civ-spouse;United-States;White;Some-college;40;0;Private
396;45;Female;Divorced;United-States;White;Some-college;40;0;Private
398;25;Male;Married-civ-spouse;United-States;White;Bachelors;55;0;Private
399;52;Male;Married-civ-spouse;United-States;White;Bachelors;50;0;Self-emp-inc
400;20;Male;Never-married;United-States;White;Some-college;40;0;Private
401;28;Female;Never-married;United-States;White;Some-college;40;0;Private
402;50;Male;Married-civ-spouse;United-States;White;Bachelors;40;0;State-gov
403;34;Female;Divorced;United-States;White;Assoc-voc;64;0;Private
404;28;Male;Married-civ-spouse;Puerto-Rico;Other;7th-8th;40;0;Private
405;41;Male;Married-civ-spouse;United-States;White;Masters;65;0;Private
406;28;Male;Married-civ-spouse;United-States;White;HS-grad;40;0;Private
407;46;Male;Married-civ-spouse;United-States;White;HS-grad;25;0;Self-emp-not-inc
409;32;Male;Married-civ-spouse;United-States;White;Some-college;50;0;Private
410;41;Female;Divorced;United-States;Black;Some-college;24;0;Local-gov
411;24;Female;Never-married;United-States;Black;HS-grad;40;0;Private
412;33;Female;Divorced;United-States;White;Some-college;40;0;Private
413;46;Male;Married-civ-spouse;United-States;White;Doctorate;60;15024;Private
414;31;Male;Married-civ-spouse;United-States;White;Some-college;40;0;State-gov
415;35;Male;Divorced;United-States;White;12th;50;0;Private
416;52;Male;Married-civ-spouse;Mexico;White;1st-4th;40;0;Private
417;30;Female;Never-married;United-States;White;11th;19;0;Private
418;34;Male;Separated;United-States;Black;11th;40;0;Local-gov
419;34;Female;Divorced;United-States;White;HS-grad;40;0;State-gov
420;20;Male;Married-civ-spouse;United-States;White;Some-college;30;0;Private
421;17;Male;Never-married;United-States;White;11th;18;2176;Private
422;32;Female;Married-civ-spouse;United-States;White;Bachelors;40;0;State-gov
423;29;Male;Divorced;United-States;White;HS-grad;40;0;Private
424;33;Female;Never-married;United-States;White;10th;35;0;Private
425;25;Male;Married-civ-spouse;United-States;White;HS-grad;60;0;Private
426;36;Male;Never-married;United-States;White;Masters;40;0;Federal-gov
427;23;Male;Never-married;Dominican-Republic;White;HS-grad;72;0;Private
